id,split
scene_000,train
scene_001,train
scene_002,train
scene_003,train
scene_005,train
scene_006,train
scene_007,train
scene_008,train
scene_009,train
scene_010,train
scene_011,train
scene_012,train
scene_013,train
scene_014,train
scene_015,train
scene_016,train
scene_017,train
scene_018,train
scene_019,train
scene_020,train
scene_021,train
scene_022,train
scene_023,train
scene_024,train
scene_025,val
scene_026,train
scene_027,train
scene_028,train
scene_029,train
scene_030,train
scene_031,train
scene_032,train
scene_033,train
scene_034,val
scene_035,train
scene_036,train
scene_037,train
scene_038,train
scene_039,train
scene_040,train
scene_041,train
scene_042,train
scene_043,train
scene_044,train
scene_045,train
scene_046,train
scene_047,train
scene_048,train
scene_049,train
scene_050,train
scene_051,train
scene_052,train
scene_053,train
scene_054,val
scene_055,train
scene_056,train
scene_057,train
scene_058,train
scene_059,train
scene_060,train
scene_062,val
scene_063,train
scene_064,train
scene_065,train
scene_066,train
scene_067,train
scene_068,train
scene_069,train
scene_070,train
scene_071,train
scene_072,train
scene_073,val
scene_074,train
scene_075,train
scene_076,train
scene_077,train
scene_078,val
scene_079,train
scene_080,train
scene_081,train
scene_082,train
scene_083,train
scene_084,train
scene_085,train
scene_086,train
scene_087,train
scene_088,val
scene_089,train
scene_090,train
scene_091,train
scene_092,train
scene_093,train
scene_094,train
scene_095,train
scene_096,train
scene_097,train
scene_098,val
scene_099,train
scene_100,val
scene_1000,train
scene_1001,train
scene_1002,train
scene_1003,train
scene_1004,train
scene_1005,train
scene_1006,train
scene_1007,train
scene_1008,train
scene_1009,train
scene_101,val
scene_1010,train
scene_1011,train
scene_1012,train
scene_1013,train
scene_1014,val
scene_1015,train
scene_1016,train
scene_1017,train
scene_1019,train
scene_102,train
scene_1020,train
scene_1021,train
scene_1022,train
scene_1023,train
scene_1024,train
scene_1025,train
scene_1026,train
scene_1027,val
scene_1028,train
scene_103,train
scene_1030,train
scene_1032,train
scene_1033,train
scene_1034,val
scene_1035,train
scene_1036,train
scene_1037,train
scene_1038,train
